"binder_pdf_scan_page","year","month","day","time_search_start_24h","time_search_end_24h","lek_name","observer","age","sex","capture_technique","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","wygf_leg_band","weight_bird_and_bag_g","weight_bag_g","weight_bird_g","total_length_mm","tail_length_mm","num_tail_feathers","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","bill_length_mm","bill_depth_mm","comb_length_mm","comb_color","num_lice_on_comb","air_sac_color","num_lice_on_air_sac_left","num_lice_on_air_sac_right","total_num_lice_on_air_sacs","lice_back_of_head","num_hematomas_on_air_sac_left","num_hematomas_on_air_sac_right","total_num_hematomas_on_air_sacs","hematomas_air_sacs_comments","num_hematomas_on_comb_left","num_hematomas_on_comb_right","total_num_hematomas_on_combs","hematomas_comb_comments","cut_feathers","collect","labelled","hematoma_group","hematomas_applied","samples_collected_blood","samples_collected_ectoparasites","samples_collected_fecal","samples_collected_cecal","hematocrit_cells_1","hematocrit_cells_2","hematocrit_plasma_1","hematocrit_plasma_2","hematocrit_total_1","hematocrit_total_2","blood_malaria","blood_haema","slide_numer","existing_injuries","handling_injury","stresses_while_handling_describe","comments"
"4","1989","4","4","2:31","2:48","viewpoint","White/Kennedy","adult","male","spotlight","yellow","1241","Y1241","yellow","1242","Y1242",NA,"3.4","0.5",2.9,"704","305","20","307","144","63","64","40.6","20.7","25.9","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18","14","14.5","12","32.5","26","no",NA,"65+66",NA,NA,"Slight",NA
"5","1989","4","3","4:37","4:45","viewpoint","White/Boyce","adult","male","spotlight","white","670","W670","white","671","W671",NA,"3.4","0.4",3,"740","282","17","330","174","67","69","41.5","24.7","27.65","olive yellow","0","yellow",NA,NA,NA,"no",0,3,3,NA,NA,NA,NA,"Some on edge","yes","yes","yes",NA,NA,"yes","no","yes","no","11","9","11","9","22","18","no",NA,"79+78",NA,NA,NA,"OBNOXIOUS!"
"6","1989","4","11","2:44","2:51","viewpoint","White/Valenzuela","adult","male","spotlight","white","670","W670","white","671","W671",NA,"3.25","0.35",2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,0,0,0,"no",0,1,1,NA,NA,NA,NA,"Upper edge right, 2 left","yes","yes","yes",NA,NA,"yes","no","yes","no",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"(?) blood smear, no malaria, RECAP 89"
"7","1989","4","11","4:10","4:20","viewpoint","White/Valenzuela","adult","male","spotlight","orange","1315","O1315","white","1448","W1448",NA,"3.3","0.35",2.95,"732","347","18","321","157","64","66","41.6","22.9","24.8","yellow olive","0","bistre yellow",0,0,0,"no",5,5,10,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","15.5","16","12","13","27.5","29","no",NA,NA,NA,NA,NA,NA
"8","1989","4","11","3:18","3:32","viewpoint","White/Valenzuela","adult","male","spotlight","white","1438","W1438","blue","1657","B1657",NA,"3.35","0.37",2.98,"762","321","19","321","153","69","71","38.4","21.8","24.05","olive yellow","0","yellow",0,0,0,"yes",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","11","9","10","19","21","no",NA,NA,NA,NA,NA,NA
"9","1989","4","11","3:00","3:16","viewpoint","White/Valenzuela","adult","male","spotlight","green","1580","G1580","blue","1662","B1662",NA,"3.3","0.3",3,"750","320","19","320","164","68","69","40.5","26.55","24.05","olive yellow","0","bistre yellow",0,0,0,"no",NA,NA,NA,"15 - 20 each",0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","9","9","9","11","18","20","maybe","maybe",NA,"Bruise left air sac",NA,NA,NA
"10","1989","4","3","4:17","4:30","viewpoint","White/Boyce","adult","male","spotlight","blue","1654","B1654","blue","1655","B1655",NA,"3.3","0.35",2.95,"736","312","17","330","149","65","66","40.1","22.7","28.1","yellow olive","0","bistre yellow",0,0,0,"no",5,0,5,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18","15","16","14","34","39","maybe","maybe","75+76",NA,NA,NA,"Slide 1 10.2 x 153.6, Slide 2 8.2 x 152.05; 8.2 x 151.3, light malarial infection"
"11","1989","4","3","4:48","5:00","viewpoint","White/Boyce",NA,"male","spotlight","orange","1316","O1316","orange","1324","O1324",NA,"3.2","0.35",2.85,"781","306","19","325","160","65","65","37.4","21.5","27.6","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,NA,NA,NA,"Along upper edge","yes","yes","yes",NA,NA,"yes","no","yes","no","8","15","7","14","15","29","yes",NA,"81+82","Bruise left air sac",NA,NA,"Slide 2 8.1 x 147.9; 2.0 x 152.0  (8 infected cell sin 1 long ? - written under an illustration of an infected cell). Haematozoan infection. Diagram on page shows infected cell. "
"12","1989","4","4","2:52","3:08","viewpoint","White/Kennedy","adult","male","spotlight","green","1587","G1587","orange","1325","O1325",NA,"3.1",NA,NA,"703","293","18","311","156","67","71","39.2","22.1","25.9","olive yellow","0","chrome yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18","15","17","13","35","28","yes",NA,"83+84",NA,NA,"Moderate (resp)","Slide 2 8.1 x 152.2. Slide 1 148.05 x 8.1; 150.1 x 8.1; 5.0 x 144.6. Hematogoan infection. Slide ? 7 cells infected in 1 western? slice"
"13","1989","4","11","3:34","3:44","viewpoint","White/Valenzuela","juven","female","spotlight","yellow","1230","Y1230","yellow","1226","Y1226",NA,"2","0.4",1.6,"567","216",NA,"275","115","51","54","31.9","17.1",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","7","8.5","5.5","5","12.5","13.5","no",NA,NA,NA,NA,NA,NA
"1","1989","03","28","1:20","1:50","mud_springs","White/Baumchen/Burton","adult","male","spotlight","red","845","R845","blue","947","B947",NA,"3.45","0.4",3.05,"737","344","18","321","151","68","67","40.5","24.3","25","olive yellow","No","bistre yellow",NA,NA,2,"no",NA,NA,NA,NA,1,3,4,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","21","18","12","10","33","28","no","no","1+2",NA,NA,"Minimal","Attempted to collect sperm sample. Box 2. No hematozoans"
"2","1989","03","28","3:31","3:47","mud_springs","White/Burton","adult","male","spotlight","red","899","R899","green","1065","G1065",NA,"3.25","0.35",2.9,"728","329","16","326","142","71","68","42.9","22.1","25.25","olive yellow","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,NA,NA,"Lots - R, 0L","yes","yes","yes",NA,NA,"yes","no","yes","no","12","10","19","13","31","23","no","no","3+4","bruise - upper right air sac",NA,"Minimal","Attempted to collect sperm sample. Box 2No hematozoans. "
"3","1989","03","28","3:51","4:07","mud_springs","White/Burton","adult","male","spotlight","blue","987","B987","blue","981","B981",NA,"3.3","0.35",2.95,"707","330","14","322","154","72","71","41.2","22.1","23.65","greenish yellow","0L, 0R","yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18",NA,"12",NA,"30",NA,"yes","no","13+14",NA,NA,"Moderate","Recapture from 1988. Attempted to collect sperm sample. Box 2. No hematozoan, has malaria. "
"4","1989","03","28","3:08","3:28","mud_springs","White/Burton","juven","male","spotlight","red","846","R846","white","675","W675",NA,"2.65","0.4",2.25,"640","240","17","300","160","70","66","37.9","16.95","14","greenish yellow","0","bistre yellow",1,0,1,"no",1,1,2,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","9","8","7","8","16","16","maybe","maybe","17+18",NA,NA,"Minimum","Very alert; calm. Attempted to collect sperm sample. 5 infected cells on 1 pass. Box 2, #1 15.6 x 148.3. Has hematozoan. "
"5","1989","04","04","6:50","7:06","mud_springs","Ornithology","adult","male","canon net","red","113","R113","red","111","R111",NA,"3.25","0.5",2.75,"751","356","19","331","147","67","64","41.1","21.9","28.45","bistre yellow","0","bistre yellow",NA,NA,NA,"no",0,0,0,NA,0,2,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","9","11.5","6.5","8","15.5","19.5","no","no","61+62","Missing toe nail left foot",NA,NA,"RECAP 87. Box 2. No hematozoans. "
"6","1989","04","10","6:45",NA,"mud_springs","Boyce/Atherton/Burton","adult","male",".22 magnum","yellow","1167","Y1167","green","1031","G1031",NA,"2.6","0",2.6,"774.7","301.63","19","314.33","136.53","69.85","61.69","39.41","22.1","25.65",NA,NA,NA,0,0,0,"no",NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,"no","no","no","no","7","8","8","8","15","16",NA,NA,NA,NA,NA,NA,"RECAP 88. No sample? recap ?"
"7","1989","04","10","6:45",NA,"mud_springs","Boyce/Atherton/Burton","adult","male",".22 mag",NA,NA,"",NA,NA,"",NA,"2.7","0",2.7,"768.36","342.9","19","317.5","152.4","73.03","76.2","39.6","13.6","22.6",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no",NA,NA,"no","no","no","no","15","11.5","19","15","34","26","no","no","97+98",NA,NA,NA,"Shot 04-10-1989 by MSB. No hematozoans. Box 2. "
"8","1989","04","13","4:01","4:10","mud_springs","White/Wallace/Fox","juven","male","spotlight","green","1547","G1547","white blue","1608","WB1608",NA,"3.25","0.35",2.9,"762","320","20","321","171","67","70","37.4","21.5","25.2","olive yellow","0","bistre yellow",0,0,0,"no",NA,NA,NA,"15 - 20L, 5 - 10R",0,2,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","19","21","9","9","28","30","no","no",NA,"No ","No","moderate","No hematozoans. "
"9","1989","04","13","3:38","3:48","mud_springs","White/Wallace/Fox","juven","male","spotlight","blue","1607","B1607","white yellow","1120","WY1120",NA,"3.3","0.4",2.9,"558","0","0","315","174","68","68","37.8","22.95","25.05","olive yellow","0","yellow",0,0,0,"no",20,25,45,NA,7,2,9,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","10","10","10","11.5","20","21.5","maybe","maybe","51+52","No ","No","Heavy handling stress","Very light infection. Box 1 slide 1: 11 x 142.5, 11.5 x 148 51 (6 infected cells in 1 pass)+52. Illustration of infected cell in lower right. "
"10","1989","04","13","3:23","3:35","mud_springs","White/Fox/Wallace","juven","male","spotlight","white red","1719","WR1719","white green","1584","WG1584",NA,"2.9","0.35",2.55,"695","135","18","312","131","65","67","39.95","21.9","23.95","olive yellow","0","yellow",0,0,0,"yes",NA,NA,NA,"15/20R, 15/20L",0,7,7,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","21","20","11","11","32","31","no","no",NA,"No ","No","Moderate","No hematozoans. Box 1"
"11","1989","04","13",NA,NA,"mud_springs","White/Fox/Wallace","adult","male","spotlight","yellow","1112","Y1112","white","1450","W1450",NA,"3.3","0.35",2.95,"730","330","20","324","178","66","69","39.85","23.2","25.6","olive yellow","0","yellow",0,0,0,"no",1,11,12,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","14","15","7","9","21","24","no","no",NA,"No ","No","Moderate","No hematozoans. Box 1"
"12","1989","04","13","4:12","4:23","mud_springs","White/Wallace/Fox","adult","male","spotlight","orange","787","O787","white green","1582","WG1582",NA,"3.45","0.35",3.1,"752","312","19","324","182","65","66","37.7","23.2","25.1","olive yellow","0","bistre yellow",2,1,3,"no",NA,NA,NA,"15 - 20 R, 15 - 20 L",1,0,1,NA,"yes","yes","yes",NA,NA,"yes","no","yes","yes","9","13","9","8","18","21","no","no",NA,"No ","No","Moderate","No hematozoans. Box 1. No blood data"
"13","1989","04","13","4:27","4:37","mud_springs","White/Wallace/Fox","adult","male","spotlight","red","1713","R1713","blue","1606","B1606",NA,"3.25","0.35",2.9,"782","329","19","330","172","67","66","39.5","22.4","27.4","olive yellow","0","bistre yellow",0,1,1,"no",NA,NA,NA,"10 - 15L, 10 - 15 R",0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","17","9","10","21","27","no","no",NA,"No ","No","Moderate","Box 1. No infection"
"14","1989","04","13","4:40","4:50","mud_springs","White/Wallace/Fox","adult","male","spotlight","blue","1659","B1659","white orange","785","WO785",NA,"3.3","0.35",2.95,"751","321","20","331","173","68","69","37.95","20.6","25.75","olive yellow","0","chrome yellow",0,3,3,"no",NA,NA,NA,"15 - 20L, 20 - 25R",5,5,10,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","15","8","11","20","26","no","no",NA,"no","No","No","Box 1. No infection"
"15","1989","04","13","4:55","5:05","mud_springs","White/Wallace/Fox","adult","male","spotlight","yellow","1122","Y1122","white orange","716","WO716",NA,"3.4","0.4",3,"755","316","19","321","181","68","70","40.45","24.65","28.8","olive yellow","0","yellow",2,3,5,"no",NA,NA,NA,"15 - 20L, 15 - 20R",0,2,2,NA,"yes","yes","yes",NA,NA,"yes","yes","yes","no","11","8","9","7","20","15","no","no",NA,"No ","No","Moderate","Box 1. Slide #1 141.6 x 22.1. Except the 1 weird cell, no apparent infection. Diagram of cell in right margin"
"16","1989","04","13","5:05","5:15","mud_springs","White/Wallace/Fox","adult","male","spotlight","white red","1656","WR1656","white red","1714","WR1714",NA,"3.25","0.3",2.95,"796","351","18","337","183","65","70","39.55","22.9","25.9","olive yellow","0","yellow",0,0,0,"no",NA,NA,NA,"15 - 20L, 5 - 10R",5,0,5,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","12","10","7.5","6","19.5","16","no","no",NA,"Bruise on left wing, bruse rt. air sac","No","No","Box 1. No infection. "
"17","1989","04","13","5:19","5:32","mud_springs","White/Wallace/Fox","adult","male","spotlight","blue","1605","B1605","white green","1583","WG1583",NA,"3.2","0.35",2.85,"701","326","20","326","166","69","68","41.1","22.7","27.1","olive yellow","0","chrome yellow",0,0,0,"no",1,0,1,NA,0,1,1,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","16.5","16","9","12","27.5","28","no","no","61+62","No ","No","Moderate","Box 1. No infection. Counted 586 cells in 4 random fields. Slide 61 - 17x148.3. "
"18","1989","04","15","2:10","2:22","mud_springs","White/Blakeshinleys","juven","male","spotlight","white green","1552","WG1552","yellow","1252","Y1252",NA,"2.9","0.2",2.7,"692","290","19","315","163","67","62","36.5","20.4","24.2","olive yellow","0","bistre yellow",1,1,2,"yes",NA,NA,NA,"15 - 20 each",5,0,5,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","17","14","15","12","32","26","no","no",NA,NA,NA,"Slight","Box 1. No hematozoan. "
"19","1989","04","15","2:24","2:37","mud_springs","White/Blakeshinleys","juven","male","spotlight","white orange","1322","WO1322","orange","1323","O1323",NA,"3","0.2",2.8,"718","289","14","321","169","65","64","39.3","20.8","22.2","olive yellow","0","yellow",0,0,0,"yes",NA,NA,NA,"15 - 20 each",NA,NA,NA,"15 - 20 along edge both","yes","yes","yes",NA,NA,"yes","no","yes","no","13","14","12","13","25","27","maybe","maybe","77+78",NA,NA,"Slight","Box 1. Has a weird hematozoan Slide 2: 133.1 x 14, 14 x 132.1. ""Found dead 23 May 90 ~1/2 miles of lek"""
"20","1989","04","15","1:54","2:08","mud_springs","White/Blakeshinleys","adult","male","spotlight","white green","1551","WG1551","red","1702","R1702",NA,"3.8","0.3",3.5,"760","301","20","322","175","65","63","39.4","23.2","24.95","olive yellow","0","bistre yellow",0,0,0,"no",5,0,5,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","17","16.5","15","14.5","32","31","no","no",NA,NA,NA,"High resp","Box 1. No hematozoans, no coccidea"
"21","1989","04","15","1:37","1:52","mud_springs","White/Blakeshinleys","adult","male","spotlight","white red","1704","WR1704","white","1401","W1401",NA,"3.3","0.3",3,"755","306","6","326","167","69","67","36.2","24.3","27.4","yellow olive","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18","16","12","12","30","28","no","no",NA,NA,NA,"Slight","Box 1. No hematozoans. "
"22","1989","04","15","2:57","3:11","mud_springs","White/Blakeshinleys","adult","male","spotlight","white orange","1318","WO1318","white","1404","W1404",NA,"2.9","0.3",2.6,"724","328","16","315","163","68","69","39.8","22.9","26.2","olive yellow","0","yellow",0,2,2,"no",0,1,1,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","8.5","8","9","7.6","17.5","15.5","no","no",NA,NA,NA,NA,"Box 1. No hematozoans. CALM!!"
"23","1989","04","15","2:39","2:53","mud_springs","White/Blakeshinleys","adult","male","spotlight","white orange","1314","WO1314","yellow","1259","Y1259",NA,"3.2","0.35",2.85,"719","305","20","305","164","67","69","39.5","22.9","24.8","olive yellow","0","bistre yellow",0,0,0,"no",0,3,3,NA,4,3,7,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","18","16","12","12","30","28","no","no","69","2 scabs on left air sac",NA,"Slight","Slide 67 11.5 x 129.?, 2.0 x ?. Box 1. No hematozoans. NOISY! On slide 69 - counted 314 cells in 4 fields - no parasites. "
"24","1989","05","15","6:47","6:57","mud_springs","White/Nickel","adult","male","canon net","white","627","W627","blue","986","B986",NA,"2.5","0.4",2.1,"722","331","14","328","162","68","69","40.6","22.5","26.6","olive yellow","0","bistre yellow",0,0,0,"no",1,5,6,NA,0,2,2,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","16.5","11","14.5","11","31.5","22","maybe","maybe","43+44+45",NA,NA,NA,"Brought into Red Butte. Missing slide? Box 3 #43 (5 infected cells), 44, 45"
"25","1989","05","15","6:30","6:43","mud_springs","White/Nickel","adult","male","canon net","red","860","R860","yellow","1182","Y1182",NA,"2.9","0.35",2.55,"771","325","19","319","169","65","68","37.9","21.6","23.4","yellow olive","0","bistre yellow",0,0,0,"no",0,0,0,NA,0,0,0,NA,"yes","yes","yes",NA,NA,"yes","no","no","no","2","4","4","6","6","10","no","no","46+47+48","Bruise on both combs",NA,NA,"RECAP 88. Brought into Red Butte. Box 3. No infection"
"26","1989","04","13","5:46","5:53","mud_springs","White/Wallace/Fox","adult","female","spotlight","red","1722","R1722","blue","1618","B1618",NA,"1.75","0.35",1.4,"550","212",NA,"270","132","52","57","32.9","18.6",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","16.5","12","16.5","9","27","21","maybe","maybe","47+48","No ","No","Moderate","Box 1. Cells w/ lots of (?) - in slide 2. Slide 1 138 x 8.3. Hematozoans. "
"27","1989","04","04","7:30","7:45","mud_springs","Ornithology","adult","female","canon net","white","657","W657","green","1586","G1586",NA,"1.9","0.35",1.55,"550","221",NA,"271","143","47","53","33.2","20.2",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","5.5","9","4.5","7","10","16","no","no","87+88",NA,NA,"Slight","Box 2. No infection"
"28","1989","04","04","7:11","7:30","mud_springs","Ornithology","adult","female","canon net","red","1724","R1724","white","1445","W1445",NA,"1.85","0.35",1.5,"567","220",NA,"279","132","55","55","32.05","19.1",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","11","10","10","10","21","20","no","no","89+90",NA,NA,"Slight","Box 2. No infection"
"29","1989","04","04","7:13","7:31","mud_springs","Dean Clalse","adult","female","canon net","red","1718","R1718","green","1585","G1585",NA,"1.7","0.3",1.4,"431.8","190.5",NA,"266.7","196.85","55.88","53.34","43.18",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","17","15","13","13","30","28","no","no","67+68","None","None","Slight","Box #2. No infection"
"30","1989","04","13","5:34","5:43","mud_springs","White/Wallace/Fox","juven","female","spotlight","yellow","1236","Y1236","white","1430","W1430",NA,"1.7","0.3",1.4,"532","199",NA,"263","139","57","57","37.3","17.95",NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,NA,"yes","no","yes","no","13","19","6.5","7","19.5","26","no","no","63+64","No","No","No","Box 1. Slide 2 148.9 x 8.9, 143.4 x 9.1. No infection"
